# TOTAL_GENES = 17264
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   17264    0.0082117     0.016377     0.010791      0.22334 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   17264   -0.0037817   -0.0073406     0.011183      0.63238 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   17264   -0.0088447    -0.017065     0.010097      0.80948 Adrenal_Gland
Artery_Aorta                        COVAR   17264   -0.0084942    -0.017323     0.010275      0.79578 Artery_Aorta
Artery_Coronary                     COVAR   17264   -0.0069311    -0.013787     0.011887      0.72008 Artery_Coronary
Artery_Tibial                       COVAR   17264   -0.0068438    -0.014082     0.010065      0.75172 Artery_Tibial
Bladder                             COVAR   17264     0.011331     0.022066     0.013073      0.19305 Bladder
Brain_Amygdala                      COVAR   17264   5.2541e-06   8.9472e-06    0.0078378      0.49973 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   17264   0.00098084    0.0017317    0.0072301      0.44605 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   17264    0.0083012     0.014332    0.0078696      0.14576 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   17264   -0.0059904    -0.012015    0.0060815      0.83769 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   17264   -0.0057545    -0.011418    0.0062704      0.82061 Brain_Cerebellum
Brain_Cortex                        COVAR   17264    0.0046827    0.0085347    0.0071347      0.25581 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   17264    0.0024663    0.0045414    0.0068884      0.36016 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   17264     0.002164    0.0036629    0.0079591      0.39286 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   17264   0.00086321     0.001485    0.0081284      0.45771 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   17264     0.010023     0.017381    0.0076045     0.093756 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   17264    0.0058287    0.0099144     0.007928      0.23111 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   17264   -0.0074464    -0.013378     0.008625      0.80602 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   17264   -0.0056229   -0.0096759    0.0086059      0.74324 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   17264     0.014859     0.028549      0.01267      0.12045 Breast_Mammary_Tissue
Cells_Cultured_fibroblasts          COVAR   17264   -0.0063787    -0.013663    0.0065379      0.83537 Cells_Cultured_fibroblasts
Cells_EBV-transformed_lympho...     COVAR   17264   -0.0023266   -0.0050761    0.0048671      0.68368 Cells_EBV-transformed_lymphocytes
Cervix_Ectocervix                   COVAR   17264  -0.00029354  -0.00057475     0.012052      0.50972 Cervix_Ectocervix
Cervix_Endocervix                   COVAR   17264   0.00038968   0.00077056     0.011493      0.48648 Cervix_Endocervix
Colon_Sigmoid                       COVAR   17264   -0.0046544   -0.0090999     0.012525      0.64491 Colon_Sigmoid
Colon_Transverse                    COVAR   17264  -0.00049092  -0.00090206     0.011647      0.51681 Colon_Transverse
Esophagus_Gastroesophageal_J...     COVAR   17264    0.0032231    0.0063411     0.012886      0.40125 Esophagus_Gastroesophageal_Junction
Esophagus_Mucosa                    COVAR   17264   -0.0023899   -0.0046173    0.0076479      0.62266 Esophagus_Mucosa
Esophagus_Muscularis                COVAR   17264    0.0014047    0.0027692     0.012475      0.45517 Esophagus_Muscularis
Fallopian_Tube                      COVAR   17264    0.0052608     0.010195     0.011845      0.32848 Fallopian_Tube
