Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Eccentric_medium_spiny_neuron	16956	0.023363	0.054565	0.009758	0.0083321	0.1749741	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Medium_spiny_neuron	16956	0.015776	0.036567	0.0094759	0.047984	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Astrocyte	16956	0.0080472	0.013044	0.0070301	0.12618	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	MGE_interneuron	16956	0.0057333	0.011923	0.011534	0.30956	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	CGE_interneuron	16956	0.0049688	0.0098582	0.011576	0.33387	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Fibroblast	16956	0.003439	0.0041664	0.0083025	0.33936	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Hippocampal_CA1_3	16956	0.00072992	0.0023022	0.0031295	0.40779	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Miscellaneous	16956	0.0012836	0.0027003	0.012194	0.45808	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	LAMP5_LHX6_and_Chandelier	16956	0.00015858	0.00032945	0.010323	0.49387	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Oligodendrocyte	16956	-5.7018e-05	-8.9275e-05	0.0068411	0.50332	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Upper_layer_intratelencephalic	16956	-0.00099889	-0.0022088	0.010574	0.53763	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Vascular	16956	-0.00131	-0.0016779	0.0079917	0.5651	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Amygdala_excitatory	16956	-0.002092	-0.0047161	0.011407	0.57275	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Splatter	16956	-0.005101	-0.01072	0.013963	0.64256	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Committed_oligodendrocyte_precursor	16956	-0.0035424	-0.0046239	0.0094132	0.64666	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Thalamic_excitatory	16956	-0.0011939	-0.0036912	0.0029506	0.65712	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Deep_layer_near_projecting	16956	-0.0053068	-0.011443	0.009148	0.71907	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Microglia	16956	-0.0057516	-0.0069528	0.0077838	0.77001	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Oligodendrocyte_precursor	16956	-0.0073468	-0.012302	0.0081592	0.81605	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Deep_layer_corticothalamic_and_6b	16956	-0.0094326	-0.021493	0.010115	0.82446	1	1
20_Siletti_CerebralCortex.Pir_Human_2022_level2	Deep_layer_intratelencephalic	16956	-0.021069	-0.049187	0.010693	0.97559	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Medium_spiny_neuron	16928	0.020823	0.04271	0.0086942	0.0083151	0.1746171	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Eccentric_medium_spiny_neuron	16928	0.023631	0.046787	0.010607	0.01295	0.27195	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Astrocyte	16928	0.0082611	0.012424	0.0072276	0.12653	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	MGE_interneuron	16928	0.0062314	0.013324	0.010851	0.28289	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Hippocampal_CA1_3	16928	0.0012038	0.0037736	0.0031305	0.35029	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Committed_oligodendrocyte_precursor	16928	0.00244	0.003831	0.0076502	0.37489	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Splatter	16928	0.0045432	0.0079626	0.014457	0.37666	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Fibroblast	16928	0.0014486	0.0021	0.005346	0.39321	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Midbrain_derived_inhibitory	16928	0.00035578	0.00092149	0.0030219	0.45314	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Oligodendrocyte	16928	0.00051856	0.00065949	0.0078215	0.47357	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	CGE_interneuron	16928	0.00074196	0.0015439	0.011235	0.47367	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	LAMP5_LHX6_and_Chandelier	16928	-0.00036887	-0.00079224	0.009606	0.51532	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Amygdala_excitatory	16928	-0.0023483	-0.0052582	0.011323	0.58215	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Upper_layer_intratelencephalic	16928	-0.0062002	-0.014645	0.0098451	0.73557	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Miscellaneous	16928	-0.0063241	-0.01537	0.0088755	0.76193	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Oligodendrocyte_precursor	16928	-0.0062389	-0.0097005	0.0083807	0.77169	1	1
32_Siletti_CerebralCortex.AON_Human_2022_level2	Microglia	16928	-0.0066363	-0.0074768	0.0078906	0.79983	1	1
