ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000117586	TNFSF4	1	173152873	173176452	-1	protein_coding	7292	TNFSF4	0.12523000717497	0.177867534	0	0	45	4.17034e-08	1.10834e-16	GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Thyroid	-	2.56200515941e-08	rs12071663	1
ENSG00000117592	PRDX6	1	173446405	173457946	1	protein_coding	9588	PRDX6	0.00998976782458624	0.35554862	0	0	52	2.74854e-13	4.82155e-43	GTEx/v8/Whole_Blood:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Muscle_Skeletal:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Spleen:GTEx/v8/Thyroid	-	2.56200515941e-08	rs12071663	1
ENSG00000162753	SLC9C2	1	173469603	173572233	-1	protein_coding	284525	SLC9C2	1.18824028993333e-06	-0.306606484	0	0	52	8.44293e-16	1.28514e-17	GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Brain_Spinal_cord_cervical_c-1:GTEx/v8/Lung:GTEx/v8/Nerve_Tibial:GTEx/v8/Pituitary:GTEx/v8/Testis:GTEx/v8/Thyroid	-	2.56200515941e-08	rs12071663	1
ENSG00000183831	ANKRD45	1	173578700	173639001	-1	protein_coding	339416	ANKRD45	0.0198872747296348	-0.281297	0	0	52	9.78e-28	1.9009e-46	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Cells_EBV-transformed_lymphocytes:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Cortex:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Nerve_Tibial:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Testis:GTEx/v8/Thyroid	-	2.56200515941e-08	rs12071663	1
ENSG00000076321	KLHL20	1	173684080	173755840	1	protein_coding	27252	KLHL20	0.0616770822299398	-0.548346514	9	15.68	49	2.62238e-09	5.08312e-06	GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Thyroid	-	2.56200515941e-08	rs12071663	1
ENSG00000120334	CENPL	1	173768688	173793858	-1	protein_coding	91687	CENPL	0.513926394303849	-0.536935258	2	11.19	0	NA	NA	NA	NA	1.52135301672e-07	rs12071663	1
ENSG00000117593	DARS2	1	173793641	173827684	1	protein_coding	55157	DARS2	4.40767877928912e-09	-1.457801096	22	12.78	52	7.80868e-33	1.5542e-34	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Whole_Blood:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Coronary:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Amygdala:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Brain_Spinal_cord_cervical_c-1:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Colon_Sigmoid:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Lung:GTEx/v8/Muscle_Skeletal:GTEx/v8/Pituitary:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Testis:GTEx/v8/Thyroid	+	2.56200515941e-08	rs12071663	1
ENSG00000185278	ZBTB37	1	173837220	173872687	1	protein_coding	84614	ZBTB37	0.734036618249105	-0.469795541	34	11	39	4.97439e-06	0.00348401	GTEx/v8/Whole_Blood:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Testis	+	2.68596284026e-08	rs12071663	1
ENSG00000117601	SERPINC1	1	173872947	173886516	-1	protein_coding	462	SERPINC1	0.993263587241958	-0.017134704	12	11	52	1.92852e-15	8.16882e-24	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Whole_Blood:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Coronary:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Colon_Sigmoid:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Lung:GTEx/v8/Muscle_Skeletal:GTEx/v8/Nerve_Tibial:GTEx/v8/Pituitary:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Spleen:GTEx/v8/Testis:GTEx/v8/Thyroid	-	2.56200515941e-08	rs12071663	1
ENSG00000135870	RC3H1	1	173900352	173991435	-1	protein_coding	149041	RC3H1	0.999539902744329	0.523899973	1	0.164	52	1.65006e-11	1.60208e-10	GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Nerve_Tibial:GTEx/v8/Cells_Cultured_fibroblasts	+	2.56200515941e-08	rs12071663	1
