# ALPHA = 0.05
# NUMBER_OF_TESTS = 17009

# _SET1_  VARIABLE = GOCC_NEURON_TO_NEURON_SYNAPSE (set)
# _SET1_  NGENES = 360
# _SET1_  P-VALUE = 1.67685e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000187961     1     895967     901095     32       6  44823     -0.95992      0.80661    1.3323e-15     -0.95992
_SET1_   ENSG00000107404     1    1270656    1284730     44       9  63530       1.2247        0.101    1.3323e-15       1.2247
_SET1_   ENSG00000067606     1    1981909    2116834    478      34  63960       1.5355     0.043221    1.3323e-15       1.5355
_SET1_   ENSG00000171603     1    9789084    9884584    145      18  67904     -0.50063        0.664    1.3323e-15     -0.50063
_SET1_   ENSG00000077549     1   19665267   19812066    547      23  70905    -0.088834      0.43632    1.3739e-15    -0.088834
_SET1_   ENSG00000162545     1   20808884   20812713      4       2  74219     0.094095       0.4596    1.3739e-15     0.094095
_SET1_   ENSG00000189410     1   21046225   21059330     38      10  71860       1.3571     0.078825    1.3323e-15       1.3571
_SET1_   ENSG00000133216     1   23037332   23241818    502      64  69098     -0.97447      0.82176    1.3323e-15     -0.97447
_SET1_   ENSG00000116329     1   29138654   29190208    180      21  69046      0.27511      0.34805    1.3878e-15      0.27511
_SET1_   ENSG00000116544     1   35331037   35395186    112      31  70768      0.88711       0.1841    1.3323e-15      0.88711
_SET1_   ENSG00000163873     1   37261128   37499730    572      60  67335     -0.48994      0.65745    1.3878e-15     -0.48994
_SET1_   ENSG00000196517     1   44457172   44497139     89      20  66433     -0.33324      0.61655    1.3878e-15     -0.33324
_SET1_   ENSG00000157193     1   53711217   53793742    198      31  71191       1.9127     0.023838    1.3323e-15       1.9127
_SET1_   ENSG00000116675     1   65713902   65881552    493      34  71345      -0.1733      0.49971    1.3878e-15      -0.1733
_SET1_   ENSG00000184588     1   66258197   66840259   1600      80  68051       1.0182      0.08898    1.3323e-15       1.0182
_SET1_   ENSG00000033122     1   70034081   70617628   1738      74  69901       4.4976   5.2094e-07    1.7764e-15       4.4976
_SET1_   ENSG00000117600     1   99729509   99775146    126      19  71618      0.11986      0.42119    1.3739e-15      0.11986
_SET1_   ENSG00000134243     1  109852192  109940573    135      12  70185     -0.75177      0.73005    1.3323e-15     -0.75177
_SET1_   ENSG00000171385     1  112313284  112531777    697      85  71374       2.2963     0.010048    1.3323e-15       2.2963
_SET1_   ENSG00000163399     1  116915290  116952883     67       6  70709     -0.13684      0.51422    1.3878e-15     -0.13684
_SET1_   ENSG00000177954     1  153963235  153964626      3       2  74219      0.62777      0.28473    1.3323e-15      0.62777
_SET1_   ENSG00000160753     1  155290687  155300905      5       3  62461       1.5289     0.063496    1.3323e-15       1.5289
_SET1_   ENSG00000132718     1  155829300  155854990     38       9  73407       1.8403     0.028659    1.3323e-15       1.8403
_SET1_   ENSG00000197959     1  171810621  172387606   1464      66  71062      0.49068      0.20334    1.3878e-15      0.49068
_SET1_   ENSG00000163485     1  203059782  203136533    176      26  71831       1.0821      0.12363    1.3323e-15       1.0821
_SET1_   ENSG00000143473     1  210856555  211307457   1590      83  68571     -0.16706      0.44316    1.3878e-15     -0.16706
_SET1_   ENSG00000170385     1  211744910  211752084     12       3  74219       -1.404      0.90902    1.3323e-15       -1.404
_SET1_   ENSG00000143761     1  228270361  228286912     26       7  73032       0.8486      0.18328    1.3323e-15       0.8486
_SET1_   ENSG00000135766     1  231499497  231560790    316       8  64858     -0.34437      0.52587    1.3878e-15     -0.34437
_SET1_   ENSG00000162946     1  231762561  232177018   1236     115  69466     -0.51039      0.66261    1.3323e-15     -0.51039
_SET1_   ENSG00000138101     2   25600067   25896503    509      45  66635      -1.4142      0.89944    1.3323e-15      -1.4142
_SET1_   ENSG00000115194     2   27476552   27498685     41       8  74219      0.67173      0.22968    1.3323e-15      0.67173
_SET1_   ENSG00000115808     2   37070783   37193615    350      21  71779    -0.006528      0.43511    1.3774e-15    -0.006528
_SET1_   ENSG00000115904     2   39208537   39351486    307      12  66923       -1.015      0.79121    1.3323e-15       -1.015
_SET1_   ENSG00000183023     2   40324410   40838193   2039     110  69577     -0.14865      0.42683    1.3878e-15     -0.14865
_SET1_   ENSG00000119878     2   46843555   46852881     24       6  73576     -0.14074      0.52636    1.3878e-15     -0.14074
_SET1_   ENSG00000115306     2   54683422   54896812    699      28  70595       1.7741     0.020467    1.3323e-15       1.7741
_SET1_   ENSG00000115310     2   55199325   55339757    457      34  69725       2.1746    0.0098301    1.3323e-15       2.1746
_SET1_   ENSG00000119866     2   60678302   60780702    180      36  69218      -1.0537      0.84596    1.3323e-15      -1.0537
_SET1_   ENSG00000221823     2   68405989   68483369    170      12  67013       2.5158    0.0035653    1.3323e-15       2.5158
_SET1_   ENSG00000169564     2   70314585   70316332      2       1  74219       1.2999     0.097703    1.3323e-15       1.2999
_SET1_   ENSG00000075340     2   70834750   70995357    689      38  70838       1.3944     0.052855    1.3323e-15       1.3944
_SET1_   ENSG00000135622     2   74881355   74909186     33       8  67093      -0.3288      0.60559    1.3878e-15      -0.3288
_SET1_   ENSG00000168758     2   97525453   97536494      8       3  72291      0.72288      0.21889    1.3323e-15      0.72288
_SET1_   ENSG00000040933     2   99061317   99210853    229      13  72030     -0.18046      0.49987    1.3878e-15     -0.18046
_SET1_   ENSG00000071051     2  106361354  106510730    569      30  71620       -2.868      0.99599    1.3323e-15       -2.868
_SET1_   ENSG00000144119     2  119913819  119916465      9       2  74219      -1.3054       0.8874    1.3323e-15      -1.3054
_SET1_   ENSG00000144283     2  159313476  159539391    697      25  71384       1.8192     0.017637    1.3323e-15       1.8192
_SET1_   ENSG00000115183     2  159825146  160089170    885      54  69252     -0.85565      0.74008    1.3323e-15     -0.85565
_SET1_   ENSG00000091428     2  173600002  173917621    950      71  70963      0.25853      0.33783    1.3878e-15      0.25853
_SET1_   ENSG00000170144     2  178077291  178088686     11       3  74219      -1.2508      0.88155    1.3323e-15      -1.2508
_SET1_   ENSG00000003393     2  202565277  202645912    270      19  70667      -1.1108      0.82986    1.3323e-15      -1.1108
_SET1_   ENSG00000204217     2  203241659  203432474    371      24  69033       1.2135     0.082957    1.3323e-15       1.2135
_SET1_   ENSG00000178568     2  212240446  213403565   4604     200  68916     0.071043      0.33252    1.3739e-15     0.071043
_SET1_   ENSG00000116106     2  222282747  222438922    431      37  69252      0.55305      0.24321    1.3323e-15      0.55305
_SET1_   ENSG00000150995     3    4535032    4889524   1318     148  70285      0.47742      0.31259    1.3878e-15      0.47742
_SET1_   ENSG00000196277     3    6811688    7783215   3609     225  69496      -1.4278      0.86024    1.3323e-15      -1.4278
_SET1_   ENSG00000134072     3    9799026    9811676     22       8  70845     0.085262      0.44862    1.3739e-15     0.085262
_SET1_   ENSG00000157087     3   10365707   10749716   1528     121  70490     -0.47317      0.62722    1.3878e-15     -0.47317
_SET1_   ENSG00000144711     3   12938719   13114617    545      73  71046      0.64269      0.25195    1.3323e-15      0.64269
_SET1_   ENSG00000172936     3   38179969   38184513      3       2  74219       1.2656     0.099284    1.3323e-15       1.2656
_SET1_   ENSG00000188846     3   40498783   40503861     16       6  53918       1.1655      0.11059    1.3323e-15       1.1655
_SET1_   ENSG00000168036     3   41236328   41301587    102      12  70581     -0.34192      0.58745    1.3878e-15     -0.34192
_SET1_   ENSG00000164061     3   49591922   49708978    175      17  72010       2.1744     0.010629    1.3323e-15       2.1744
_SET1_   ENSG00000177707     3  110788918  110994410    485      48  71687      -2.2448       0.9843    1.3323e-15      -2.2448
_SET1_   ENSG00000151577     3  113847499  113918254    227      30  68576    -0.090629      0.50708    1.3739e-15    -0.090629
_SET1_   ENSG00000172020     3  115342171  115440337    281      47  69077      -0.8371      0.78884    1.3323e-15      -0.8371
_SET1_   ENSG00000144847     3  118619404  118864915    729      45  68638     -0.68212      0.68515    1.3323e-15     -0.68212
_SET1_   ENSG00000114030     3  122140796  122233792    226      23  70893      -1.7075      0.94399    1.3323e-15      -1.7075
_SET1_   ENSG00000160145     3  123798870  124445172   2134      94  69986      -1.1012      0.75064    1.3323e-15      -1.1012
_SET1_   ENSG00000144868     3  132757235  133116636   1214      51  71309      -1.6684      0.90999    1.3323e-15      -1.6684
_SET1_   ENSG00000158258     3  139654027  140296239   2026     144  69884     0.042621      0.39851    1.3739e-15     0.042621
_SET1_   ENSG00000169860     3  152552736  152555841      6       2  74219      0.49474      0.29577    1.3878e-15      0.49474
_SET1_   ENSG00000121871     3  164904508  164914897     23       6  66550      -0.8384      0.77837    1.3323e-15      -0.8384
_SET1_   ENSG00000154310     3  170779128  171178197   1142     118  69532      0.99787      0.14702    1.3323e-15      0.99787
_SET1_   ENSG00000169760     3  173114074  174004434   2615     137  69962       2.6809    0.0011404    1.3323e-15       2.6809
_SET1_   ENSG00000114416     3  180585929  180700541    230      21  66957       2.2921    0.0077005    1.3323e-15       2.2921
_SET1_   ENSG00000174013     3  196295482  196315930     56      12  70794     -0.62243      0.70873    1.3323e-15     -0.62243
_SET1_   ENSG00000180370     3  196466728  196559518    419      35  67463    -0.027727      0.45219    1.3774e-15    -0.027727
_SET1_   ENSG00000075711     3  196769431  197026171    686      27  70905       1.5635     0.033254    1.3323e-15       1.5635
_SET1_   ENSG00000087274     4    2845584    2931803    167      22  67108       2.0871      0.01443    1.3323e-15       2.0871
_SET1_   ENSG00000184985     4    7194265    7744554   3421     271  66951     -0.24659      0.46458    1.3878e-15     -0.24659
_SET1_   ENSG00000138668     4   83273651   83295656     57       7  67760     -0.26487      0.55631    1.3878e-15     -0.26487
_SET1_   ENSG00000152208     4   93225550   94695707   4059     122  69495     0.024276      0.31963    1.3774e-15     0.024276
_SET1_   ENSG00000163110     4   95373037   95589377    575      28  65077      -1.1838      0.82669    1.3323e-15      -1.1838
_SET1_   ENSG00000120251     4  158125334  158287227    291      23  70648      0.12327      0.39625    1.3739e-15      0.12327
_SET1_   ENSG00000169862     5   10971952   11904155   2878     205  68344     0.013367       0.3642    1.3774e-15     0.013367
_SET1_   ENSG00000113360     5   31400604   31532303    348      27  68912     -0.81683      0.74686    1.3323e-15     -0.81683
_SET1_   ENSG00000186479     5   63802084   63908139    226      30  73153     -0.32704      0.59698    1.3878e-15     -0.32704
_SET1_   ENSG00000131711     5   71403061   71505395    223      46  70126      0.22601      0.40738    1.3878e-15      0.22601
_SET1_   ENSG00000152413     5   78668459   78810040    355      26  65417     -0.47941      0.62273    1.3878e-15     -0.47941
_SET1_   ENSG00000198961     5  108670410  108745695    299      16  66386     -0.20443      0.50547    1.3878e-15     -0.20443
_SET1_   ENSG00000152377     5  136310987  136934068   1837      98  70219     -0.86201      0.70507    1.3323e-15     -0.86201
_SET1_   ENSG00000146006     5  138204612  138211057      7       2  74219       2.4635    0.0054841    1.3323e-15       2.4635
_SET1_   ENSG00000070808     5  149599054  149669854    152      27  70903     -0.55249      0.68916    1.3323e-15     -0.55249
_SET1_   ENSG00000164587     5  149822753  149829319     30       4  72259       1.1398      0.10419    1.3323e-15       1.1398
_SET1_   ENSG00000171992     5  149980642  150038782    136      19  69740      0.91167      0.16045    1.3323e-15      0.91167
_SET1_   ENSG00000155511     5  152869175  153193429   1325      66  70574        2.181    0.0065505    1.3323e-15        2.181
_SET1_   ENSG00000204767     5  169291268  169407744    321      49  72378   -0.0083406      0.48823    1.3774e-15   -0.0083406
_SET1_   ENSG00000113742     5  173315283  173388979    188      19  72706     -0.15694      0.51455    1.3878e-15     -0.15694
_SET1_   ENSG00000169220     5  176784838  176799602     24       7  67391       1.8976     0.024552    1.3323e-15       1.8976
_SET1_   ENSG00000131188     5  176873446  176883283     20       6  71134       2.7635    0.0023253    1.3323e-15       2.7635
_SET1_   ENSG00000047579     6   15523032   15663289    335      21  71080    -0.051561      0.45304    1.3739e-15    -0.051561
_SET1_   ENSG00000112186     6   17393447   17558023    467      47  67495     -0.92618      0.79194    1.3323e-15     -0.92618
_SET1_   ENSG00000204314     6   32116136   32122150      9       4  54622      0.74291      0.20928    1.3323e-15      0.74291
_SET1_   ENSG00000231500     6   33239787   33244287     19       5  68030     -0.92751      0.80244    1.3323e-15     -0.92751
_SET1_   ENSG00000197283     6   33387847   33421466     61      17  69400      0.49428      0.29796    1.3878e-15      0.49428
_SET1_   ENSG00000156564     6   40359325   40555204    831      52  70560       2.0996     0.010544    1.3323e-15       2.0996
_SET1_   ENSG00000135298     6   69345259   70099403   2250      73  70185      0.77033     0.096044    1.3323e-15      0.77033
_SET1_   ENSG00000135333     6   93949738   94129265    464      55  72459     0.026312      0.46316    1.3774e-15     0.026312
_SET1_   ENSG00000164418     6  101846664  102517958   2255     122  70119      -1.2898      0.82673    1.3323e-15      -1.2898
_SET1_   ENSG00000010810     6  111981535  112194655    616      34  71155      0.52742      0.23282    1.3323e-15      0.52742
_SET1_   ENSG00000047932     6  117639374  117923691   1011      47  71327      -1.1701       0.8138    1.3323e-15      -1.1701
_SET1_   ENSG00000118507     6  131456806  131604675    373      31  65651     0.051806      0.41916    1.3739e-15     0.051806
_SET1_   ENSG00000152822     6  146348782  146758734    833      42  70825       1.3191      0.05936    1.3323e-15       1.3191
_SET1_   ENSG00000164506     6  147525561  147706866    294      16  72285       1.8488     0.020861    1.3323e-15       1.8488
_SET1_   ENSG00000185345     6  161768452  163148803   5540     260  69178      -1.2568      0.81472    1.3323e-15      -1.2568
_SET1_   ENSG00000188191     7     588834     767287    709      60  62358     -0.48261      0.63296    1.3878e-15     -0.48261
_SET1_   ENSG00000164850     7    1121844    1133451     50      12  64812       1.8947     0.024403    1.3323e-15       1.8947
_SET1_   ENSG00000215045     7    6537093    6591067    178      36  69995       1.0773      0.13486    1.3323e-15       1.0773
_SET1_   ENSG00000164742     7   45613739   45762715    465      55  68824      0.46506       0.2968    1.3878e-15      0.46506
