GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000269831	1	738532	739137	1	1	58792	0.53132	0.2976	AL669831.1
ENSG00000187634	1	860260	879955	80	19	62424	-0.17298	0.56867	SAMD11
ENSG00000268179	1	861264	866445	30	9	63392	0.44454	0.32833	AL645608.1
ENSG00000188976	1	879584	894689	52	8	65174	-0.43221	0.66721	NOC2L
ENSG00000187961	1	895967	901095	32	6	44823	-0.86549	0.80661	KLHL17
ENSG00000187583	1	901877	911245	41	16	61995	-0.42628	0.66505	PLEKHN1
ENSG00000187642	1	910579	917497	24	5	68677	0.4726	0.31825	C1orf170
ENSG00000188290	1	934342	935552	5	2	74219	0.2104	0.41668	HES4
ENSG00000187608	1	948803	949920	6	2	64420	-0.55076	0.7091	ISG15
ENSG00000188157	1	955503	991496	118	13	62237	-2.114	0.98274	AGRN
ENSG00000237330	1	1006346	1009687	8	3	59521	-1.1254	0.86978	RNF223
ENSG00000131591	1	1017198	1051741	141	14	64827	0.18262	0.42755	C1orf159
ENSG00000162571	1	1109264	1133315	164	19	66220	0.63607	0.26237	TTLL10
ENSG00000186891	1	1138888	1142071	10	2	68340	0.29366	0.38451	TNFRSF18
ENSG00000186827	1	1146706	1149518	10	3	56581	1.8202	0.034367	TNFRSF4
ENSG00000078808	1	1152288	1167411	103	6	63645	0.21461	0.41504	SDF4
ENSG00000176022	1	1167629	1170421	8	2	74219	2.1051	0.017642	B3GALT6
ENSG00000184163	1	1177826	1182102	13	3	60652	0.81002	0.20897	FAM132A
ENSG00000160087	1	1189289	1209265	58	10	66757	2.725	0.0032156	UBE2J2
ENSG00000162572	1	1215816	1227409	59	20	50516	2.0774	0.018882	SCNN1D
ENSG00000131584	1	1227756	1244989	63	11	54377	1.2794	0.10038	ACAP3
ENSG00000169972	1	1243947	1247057	4	2	74219	1.5089	0.065661	PUSL1
ENSG00000127054	1	1246965	1260071	24	7	57071	1.4079	0.079576	CPSF3L
ENSG00000224051	1	1260136	1264277	12	3	68034	-0.17106	0.56791	GLTPD1
ENSG00000169962	1	1266694	1270686	14	5	65820	1.8527	0.03196	TAS1R3
ENSG00000107404	1	1270656	1284730	44	9	63530	1.2759	0.101	DVL1
ENSG00000162576	1	1288069	1297157	29	5	69100	0.76691	0.22157	MXRA8
ENSG00000175756	1	1309110	1310875	7	3	65820	1.1046	0.13467	AURKAIP1
ENSG00000221978	1	1321091	1334708	24	8	63135	1.2143	0.11232	CCNL2
ENSG00000224870	1	1334902	1337426	10	3	68340	-0.45934	0.677	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	13	5	74219	0.46326	0.32159	MRPL20
ENSG00000235098	1	1353800	1357149	10	3	62461	1.1148	0.13247	ANKRD65
ENSG00000205116	1	1361508	1363167	10	4	68340	1.1212	0.1311	TMEM88B
ENSG00000179403	1	1370241	1378262	19	4	68030	1.9677	0.024551	VWA1
ENSG00000215915	1	1385069	1405538	84	11	44937	2.3681	0.0089399	ATAD3C
ENSG00000160072	1	1407143	1433228	72	12	40445	1.9569	0.025177	ATAD3B
ENSG00000197785	1	1447531	1470067	111	15	45929	2.4605	0.0069381	ATAD3A
ENSG00000205090	1	1470554	1475833	13	5	63987	1.1394	0.12727	TMEM240
ENSG00000160075	1	1477053	1510249	108	11	60903	1.3066	0.095681	SSU72
ENSG00000215014	1	1510355	1511373	6	2	71648	1.0199	0.15388	AL645728.1
ENSG00000228594	1	1533392	1535476	2	1	74219	-0.4826	0.68531	C1orf233
