GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000269831	1	738532	739137	1	1	275488	0.53146	0.29755	AL669831.1
ENSG00000187634	1	860260	879955	65	15	275488	0.92932	0.17636	SAMD11
ENSG00000268179	1	861264	866445	25	7	275488	1.5179	0.064523	AL645608.1
ENSG00000188976	1	879584	894689	44	7	275488	0.47458	0.31754	NOC2L
ENSG00000187961	1	895967	901095	16	4	275488	0.13407	0.44667	KLHL17
ENSG00000187583	1	901877	911245	33	14	275488	1.0717	0.14193	PLEKHN1
ENSG00000187642	1	910579	917497	22	5	275488	1.1909	0.11685	C1orf170
ENSG00000188290	1	934342	935552	5	2	275488	1.243	0.10693	HES4
ENSG00000187608	1	948803	949920	5	1	275488	-0.057976	0.52312	ISG15
ENSG00000188157	1	955503	991496	95	12	275488	-2.1248	0.9832	AGRN
ENSG00000237330	1	1006346	1009687	6	2	275488	-0.77358	0.78041	RNF223
ENSG00000131591	1	1017198	1051741	119	13	275488	1.0832	0.13935	C1orf159
ENSG00000162571	1	1109264	1133315	143	18	275488	0.27525	0.39156	TTLL10
ENSG00000186891	1	1138888	1142071	9	2	275488	0.143	0.44314	TNFRSF18
ENSG00000186827	1	1146706	1149518	7	2	275488	1.2883	0.098827	TNFRSF4
ENSG00000078808	1	1152288	1167411	85	4	275488	0.026666	0.48936	SDF4
ENSG00000176022	1	1167629	1170421	8	2	275488	1.3279	0.092104	B3GALT6
ENSG00000184163	1	1177826	1182102	10	2	275488	0.76117	0.22328	FAM132A
ENSG00000160087	1	1189289	1209265	53	9	275488	2.447	0.0072031	UBE2J2
ENSG00000162572	1	1215816	1227409	36	11	275488	2.2235	0.013092	SCNN1D
ENSG00000131584	1	1227756	1244989	42	9	275488	1.2317	0.10904	ACAP3
ENSG00000169972	1	1243947	1247057	4	2	275488	1.3255	0.092495	PUSL1
ENSG00000127054	1	1246965	1260071	17	4	275488	1.3404	0.090065	CPSF3L
ENSG00000224051	1	1260136	1264277	11	3	275488	0.42963	0.33373	GLTPD1
ENSG00000169962	1	1266694	1270686	12	5	275488	2.093	0.018174	TAS1R3
ENSG00000107404	1	1270656	1284730	36	7	275488	1.338	0.090446	DVL1
ENSG00000162576	1	1288069	1297157	27	5	275488	1.1813	0.11873	MXRA8
