GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000187634	1	860260	879955	76	18	443093	0.81931	0.2063	SAMD11
ENSG00000268179	1	861264	866445	28	9	443093	0.46483	0.32103	AL645608.1
ENSG00000188976	1	879584	894689	52	8	443093	0.056963	0.47729	NOC2L
ENSG00000187961	1	895967	901095	32	6	443093	-0.32091	0.62586	KLHL17
ENSG00000187583	1	901877	911245	39	15	443093	1.226	0.11009	PLEKHN1
ENSG00000187642	1	910579	917497	23	5	443093	0.25226	0.40042	C1orf170
ENSG00000188290	1	934342	935552	5	2	443093	1.1879	0.11744	HES4
ENSG00000187608	1	948803	949920	6	2	443093	0.56523	0.28596	ISG15
ENSG00000188157	1	955503	991496	114	12	443093	-0.78701	0.78436	AGRN
ENSG00000237330	1	1006346	1009687	8	3	443093	-2.3127	0.98963	RNF223
ENSG00000131591	1	1017198	1051741	139	13	443093	0.3618	0.35875	C1orf159
ENSG00000162571	1	1109264	1133315	159	18	443093	0.39278	0.34724	TTLL10
ENSG00000186891	1	1138888	1142071	10	2	443093	-0.36072	0.64084	TNFRSF18
ENSG00000186827	1	1146706	1149518	10	3	443093	0.93373	0.17522	TNFRSF4
ENSG00000078808	1	1152288	1167411	101	5	443093	-0.14064	0.55592	SDF4
ENSG00000176022	1	1167629	1170421	8	2	443093	1.5084	0.065725	B3GALT6
ENSG00000184163	1	1177826	1182102	13	3	443093	0.90818	0.18189	FAM132A
ENSG00000160087	1	1189289	1209265	49	7	443093	1.1639	0.12224	UBE2J2
ENSG00000162572	1	1215816	1227409	56	18	443093	1.3801	0.08378	SCNN1D
ENSG00000131584	1	1227756	1244989	64	11	443093	1.4064	0.079798	ACAP3
ENSG00000169972	1	1243947	1247057	4	2	443093	0.28059	0.38951	PUSL1
ENSG00000127054	1	1246965	1260071	24	7	443093	0.79274	0.21397	CPSF3L
ENSG00000224051	1	1260136	1264277	11	2	443093	-0.16817	0.56677	GLTPD1
ENSG00000169962	1	1266694	1270686	14	5	443093	-0.43089	0.66673	TAS1R3
ENSG00000107404	1	1270656	1284730	44	9	443093	-0.3554	0.63886	DVL1
ENSG00000162576	1	1288069	1297157	27	5	443093	-0.04197	0.51674	MXRA8
ENSG00000175756	1	1309110	1310875	7	3	443093	-0.82859	0.79633	AURKAIP1
ENSG00000221978	1	1321091	1334708	22	7	443093	-0.7004	0.75816	CCNL2
ENSG00000224870	1	1334902	1337426	10	3	443093	-1.2062	0.88613	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	13	5	443093	-1.5319	0.93722	MRPL20
ENSG00000235098	1	1353800	1357149	10	3	443093	0.64614	0.25909	ANKRD65
ENSG00000205116	1	1361508	1363167	10	4	443093	-0.55278	0.70979	TMEM88B
ENSG00000179403	1	1370241	1378262	19	4	443093	0.48982	0.31213	VWA1
ENSG00000215915	1	1385069	1405538	77	10	443093	2.1951	0.014079	ATAD3C
ENSG00000160072	1	1407143	1433228	63	10	443093	1.7588	0.039308	ATAD3B
ENSG00000197785	1	1447531	1470067	98	13	443093	1.5051	0.066149	ATAD3A
ENSG00000205090	1	1470554	1475833	12	5	443093	-0.82371	0.79495	TMEM240
ENSG00000160075	1	1477053	1510249	91	8	443093	-0.19603	0.57771	SSU72
ENSG00000215014	1	1510355	1511373	5	1	443093	0.13409	0.44666	AL645728.1
ENSG00000228594	1	1533392	1535476	2	1	443093	-2.9841	0.99858	C1orf233
ENSG00000197530	1	1550795	1565990	41	9	443093	-0.75496	0.77486	MIB2
ENSG00000248333	1	1570603	1590473	16	5	443093	-0.79704	0.78729	CDK11B
ENSG00000189339	1	1592939	1624167	80	14	443093	-0.71967	0.76414	SLC35E2B
ENSG00000008128	1	1634169	1655766	134	8	443093	2.1322	0.016496	CDK11A
ENSG00000215790	1	1656277	1677431	83	9	443093	1.0545	0.14582	SLC35E2
ENSG00000008130	1	1682671	1711896	76	10	443093	0.64305	0.2601	NADK
ENSG00000078369	1	1716729	1822495	169	20	443093	0.91557	0.17995	GNB1
ENSG00000169885	1	1846266	1848735	11	3	443093	1.0902	0.1378	CALML6
ENSG00000178821	1	1849029	1850712	6	2	443093	0.73792	0.23028	TMEM52
ENSG00000142609	1	1853396	1935276	410	31	443093	0.22957	0.40921	C1orf222
ENSG00000187730	1	1950780	1962192	30	7	443093	-0.92408	0.82228	GABRD
ENSG00000067606	1	1981909	2116834	466	34	443093	0.44012	0.32993	PRKCZ
ENSG00000162585	1	2115903	2144159	55	11	443093	-0.42073	0.66302	C1orf86
ENSG00000269554	1	2121237	2123179	4	2	443093	0.38589	0.34979	AL590822.2
ENSG00000203301	1	2143360	2145620	8	4	443093	1.0864	0.13865	AL590822.1
ENSG00000157933	1	2160134	2241558	255	43	443093	-0.38585	0.6502	SKI
ENSG00000116151	1	2252692	2323146	336	38	443093	0.47625	0.31695	MORN1
ENSG00000157916	1	2323267	2336883	39	11	443093	-1.0671	0.85705	RER1
ENSG00000157911	1	2336236	2345236	26	8	443093	-0.4836	0.68567	PEX10
ENSG00000149527	1	2357419	2436969	277	35	443093	0.18791	0.42547	PLCH2
ENSG00000157881	1	2439972	2458039	48	8	443093	0.44949	0.32654	PANK4
ENSG00000197921	1	2460184	2461684	3	2	443093	-0.57308	0.7167	HES5
ENSG00000157873	1	2487078	2496821	24	5	443093	0.53576	0.29606	TNFRSF14
ENSG00000157870	1	2517930	2522908	11	4	443093	0.11507	0.4542	FAM213B
ENSG00000142606	1	2522078	2564481	163	9	443093	-0.94976	0.82888	MMEL1
ENSG00000215912	1	2567415	2718286	393	22	443093	0.24426	0.40351	TTC34
ENSG00000169717	1	2938046	2939465	5	2	443093	-0.64436	0.74033	ACTRT2
ENSG00000142611	1	2985732	3355185	1559	157	443093	-1.3551	0.91231	PRDM16
ENSG00000130762	1	3370990	3397677	101	12	443093	0.17377	0.43102	ARHGEF16
ENSG00000162591	1	3406484	3528059	576	80	443093	-0.28425	0.61189	MEGF6
ENSG00000158109	1	3541566	3546691	12	4	443093	-0.59112	0.72278	TPRG1L
ENSG00000116213	1	3547331	3569325	59	15	443093	-0.26093	0.60293	WRAP73
ENSG00000078900	1	3569084	3652765	337	54	443093	-0.1017	0.5405	TP73
ENSG00000162592	1	3668962	3688209	75	16	443093	-1.4135	0.92125	CCDC27
ENSG00000235169	1	3689352	3692546	13	5	443093	-3.1778	0.99926	SMIM1
ENSG00000130764	1	3696784	3713068	85	16	443093	-2.3691	0.99108	LRRC47
ENSG00000116198	1	3728645	3773778	310	17	443093	0.15158	0.43976	CEP104
ENSG00000169598	1	3773845	3801993	174	22	443093	1.9475	0.025738	DFFB
ENSG00000198912	1	3805689	3816857	46	8	443093	0.9632	0.16772	C1orf174
ENSG00000196581	1	4714792	4852594	710	81	443093	-0.55729	0.71134	AJAP1
ENSG00000131697	1	5922871	6052533	418	20	443093	0.62721	0.26526	NPHP4
ENSG00000069424	1	6051526	6161253	366	55	443093	-0.22308	0.58827	KCNAB2
ENSG00000268332	1	6100630	6101399	4	2	443093	-2.1194	0.98297	AL035406.1
ENSG00000116254	1	6161853	6240183	318	32	443093	-0.55723	0.71131	CHD5
ENSG00000116251	1	6241329	6269449	70	13	443093	-0.61335	0.73018	RPL22
ENSG00000158286	1	6265535	6281359	39	5	443093	-0.37835	0.64741	RNF207
ENSG00000116237	1	6281253	6296032	30	5	443093	-0.54643	0.70762	ICMT
ENSG00000173673	1	6304252	6305638	5	2	443093	-1.3959	0.91863	HES3
ENSG00000158292	1	6307406	6321035	36	3	443093	-0.89328	0.81415	GPR153
ENSG00000097021	1	6324329	6454451	437	24	443093	-0.99821	0.84091	ACOT7
ENSG00000069812	1	6472478	6484730	44	8	443093	-1.4182	0.92193	HES2
ENSG00000187017	1	6484848	6521430	114	12	443093	-1.2335	0.8913	ESPN
ENSG00000215788	1	6521211	6526255	14	5	443093	0.98092	0.16332	TNFRSF25
ENSG00000171680	1	6526152	6580121	146	24	443093	-0.55882	0.71186	PLEKHG5
ENSG00000162408	1	6581407	6614595	119	3	443093	0.26029	0.39732	NOL9
ENSG00000173662	1	6615241	6639817	54	9	443093	-0.024509	0.50978	TAS1R1
ENSG00000204859	1	6640061	6649340	13	5	443093	1.9215	0.027332	ZBTB48
ENSG00000162413	1	6650784	6674667	44	10	443093	1.2059	0.11392	KLHL21
ENSG00000116273	1	6673745	6684093	22	5	443093	1.1898	0.11706	PHF13
ENSG00000041988	1	6684926	6695646	31	6	443093	1.3201	0.093393	THAP3
ENSG00000007923	1	6694228	6761984	152	17	443093	1.2178	0.11166	DNAJC11
ENSG00000171735	1	6845384	7829766	2950	214	443093	0.049849	0.48012	CAMTA1
ENSG00000049245	1	7831329	7841492	36	9	443093	0.68682	0.2461	VAMP3
ENSG00000049246	1	7844380	7905237	238	28	443093	0.70379	0.24078	PER3
ENSG00000049247	1	7903143	7913572	43	13	443093	0.029504	0.48823	UTS2
ENSG00000049249	1	7979907	8000926	43	6	443093	0.87264	0.19143	TNFRSF9
ENSG00000116288	1	8014351	8045565	65	10	443093	1.834	0.033326	PARK7
ENSG00000116285	1	8064464	8086368	33	6	443093	1.8174	0.034575	ERRFI1
ENSG00000162426	1	8377886	8404227	90	14	443093	0.37329	0.35446	SLC45A1
ENSG00000142599	1	8412457	8877702	753	26	443093	1.9801	0.023847	RERE
